add_words,remove_words,merge_words,change_word_order,remove_articles,split_theme
2,6,0,0,0,0
0,12,1,1,7,0
0,5,0,1,0,3
0,3,0,3,6,5
0,2,2,7,0,2
0,11,0,3,17,1
0,10,0,2,1,0
1,3,1,0,0,0
2,2,2,3,14,3
0,5,0,6,2,0
1,1,1,4,2,4
3,3,0,1,8,0
0,2,2,2,9,0
0,0,2,0,0,0
1,3,1,2,0,3
1,2,1,2,1,2
1,1,1,1,2,3
0,4,0,0,0,0
8,20,0,0,28,0
2,2,1,0,2,0
3,7,1,10,20,2
23,12,0,16,10,16
1,0,0,2,2,0
0,8,3,1,0,0
1,2,2,0,2,0
2,2,2,5,5,0
17,26,7,8,7,2
2,7,0,11,6,0
1,4,1,4,4,2
0,3,0,6,0,0
0,3,1,2,9,0
0,3,2,7,0,0
0,7,0,2,0,0
0,8,0,0,0,0
0,1,0,0,12,0
2,3,0,3,2,0
1,11,0,2,0,0
1,3,1,1,2,2
7,9,6,8,4,0
0,3,2,0,0,2
0,1,1,0,2,0
7,12,1,2,20,0
6,3,2,0,2,0
0,6,0,0,3,0
2,15,0,6,5,0
0,0,7,0,0,0
6,1,0,8,17,6
1,5,0,2,1,0
0,2,2,6,1,1
0,2,3,0,0,0
0,0,2,0,0,0
2,2,0,16,0,0
0,1,1,1,0,0
1,3,2,0,3,0
2,7,6,0,4,0
6,12,1,5,1,0
2,0,2,4,3,0
1,2,1,1,1,1
1,7,1,4,6,0
1,2,1,0,1,0
6,9,3,0,8,0
8,4,3,4,1,2
1,5,1,4,0,0
14,16,0,5,0,7
1,8,0,0,21,0
5,5,1,12,14,14
0,0,0,13,15,7
1,0,0,9,5,0
0,7,3,0,5,0
1,2,1,1,0,0
3,14,0,7,0,0
0,4,1,1,2,0
0,10,3,0,0,3
5,10,2,11,3,0
3,3,2,3,1,0
2,2,1,6,0,0
1,5,0,6,0,3
2,1,1,0,3,1
1,6,1,1,2,0
11,0,10,10,0,0
0,0,3,8,0,0
1,2,8,0,0,0
7,9,0,7,34,0
3,3,1,2,4,0
0,6,1,5,17,0
0,3,1,4,0,0
0,0,2,0,0,0
2,8,1,0,9,0
0,1,1,1,4,0
2,1,2,0,6,0
1,6,0,4,8,0
0,4,1,6,8,2
1,3,0,4,7,0
0,3,1,3,0,0
0,1,3,8,0,2
0,0,1,3,0,0
1,10,1,3,3,0
1,6,0,0,18,0
2,2,0,2,3,0
5,7,1,9,2,4
1,7,0,7,5,0
4,3,1,9,13,3
0,3,0,1,0,4
1,1,1,7,1,0
0,8,3,1,0,0
0,4,1,1,1,0
2,11,0,8,0,0
0,5,3,1,10,0
0,9,3,0,0,0
9,18,0,7,2,0
0,2,0,0,0,0
1,1,1,5,0,0
1,4,1,5,0,0
0,0,1,1,3,2
2,1,0,0,2,0
4,0,0,9,0,0
3,0,1,4,0,0
6,15,0,6,0,0
0,2,0,4,7,2
0,2,0,9,0,0
5,7,4,3,0,0
0,2,3,8,0,3
0,3,0,0,0,0
0,8,0,0,0,0
0,1,1,1,21,2
2,0,0,1,1,0
0,3,4,4,1,0
0,5,1,1,4,0
0,4,0,2,0,5
0,2,0,4,6,7
3,8,1,11,14,3
1,6,0,1,14,0
0,0,1,0,6,0
0,3,2,1,0,0
3,1,1,5,2,0
7,6,0,26,3,3
4,4,0,4,39,0
3,4,1,2,14,5
0,3,0,7,9,0
5,1,2,7,1,0
0,5,6,5,0,2
0,1,1,2,1,0
3,8,0,7,0,0
0,1,2,2,3,0
5,7,0,0,0,0
21,10,4,12,3,0
0,3,1,2,0,0
0,2,3,2,1,0
0,2,1,10,0,0
2,1,0,0,0,0
2,6,1,4,1,0
3,4,0,2,0,0
1,1,3,0,1,0
0,3,1,2,5,0
1,1,1,2,2,2
2,2,0,2,8,0
0,7,1,3,0,0
1,2,1,0,0,0
1,2,0,1,6,2
1,1,1,1,3,2
1,4,1,3,3,2
4,7,3,4,8,0
2,3,3,5,1,0
10,3,1,3,3,0
0,2,1,0,3,0
2,2,1,4,14,8
2,5,1,1,8,6
2,4,1,4,1,2
0,3,1,2,1,0
0,5,0,9,0,0
0,3,1,0,22,4
4,5,1,9,15,0
1,1,0,2,7,0
1,7,3,11,0,0
10,4,0,6,14,8
0,0,1,3,5,1
0,7,0,0,0,0
0,3,0,0,2,0
0,0,2,2,2,0
1,15,3,3,0,0
1,12,0,1,5,0
1,3,2,1,1,4
0,8,5,4,0,0
4,19,0,0,0,0
6,16,0,5,23,2
21,12,4,1,14,0
8,18,0,1,36,0
0,11,0,0,8,0
3,18,0,3,8,0
12,26,9,16,4,0
2,4,0,4,8,0
0,9,2,0,9,0
3,6,1,3,13,5
5,9,1,5,12,0
1,3,2,3,1,3
0,9,2,7,0,0
0,5,0,3,0,0
0,6,1,4,2,0
0,5,2,8,1,0
0,6,2,8,21,0
2,0,0,0,6,0
2,0,4,13,0,0
0,9,0,0,15,0
1,3,0,12,18,0
0,1,0,0,4,0
0,5,0,5,2,0
0,7,1,3,0,0
3,18,0,2,15,0
1,2,1,1,3,4
8,7,7,5,15,0
6,15,5,4,0,0
2,10,2,1,19,0
2,1,2,2,18,0
9,17,1,0,7,0
1,2,0,3,51,0
0,13,0,4,1,0
0,4,0,0,2,0
1,4,1,2,2,3
2,2,0,3,9,0
0,13,1,1,30,0
0,2,3,0,1,0
2,6,0,3,11,0
2,2,1,1,3,2
3,5,1,1,7,3
4,4,0,3,0,0
0,3,1,22,7,0
0,17,1,1,0,0
3,6,0,0,0,0
0,0,4,7,0,0
0,8,9,4,0,15
12,13,3,5,11,7
4,0,0,0,0,0
0,9,0,6,0,0
1,9,0,4,0,0
0,10,0,0,6,0
3,5,1,4,6,0
0,6,1,0,1,0
2,6,1,2,9,4
4,12,0,4,4,0
3,4,1,1,1,2
2,15,0,5,0,0
0,10,0,4,0,0
0,4,0,3,2,0
8,17,0,3,17,0
1,3,1,0,1,0
4,13,1,2,5,0
3,10,0,6,14,0
3,2,0,2,4,0
0,16,0,1,0,0
1,2,1,1,1,2
2,6,0,3,2,2
1,19,3,0,20,0
0,3,3,11,0,0
0,17,2,4,4,0
5,0,0,0,0,0
0,1,4,9,0,0
0,13,0,0,8,0
6,14,3,6,11,0
4,2,0,0,7,0
0,2,0,0,0,0
0,7,0,1,0,6
0,14,0,1,38,0
2,11,0,2,32,0
0,10,1,3,14,0
0,4,3,7,12,2
0,5,3,10,12,0
0,9,0,7,26,1
0,4,1,1,1,0
0,3,0,0,9,1
2,5,1,2,6,2
