OriginalAutoCoherence,RefinedAutoCoherence
0.18,0.057142857
0.18,0.2
0.18,0.152941176
0.18,0.111111111
0.18,0.117647059
0.18,0.117647059
0.18,0.146666667
0.18,0.327272727
0.18,0.094736842
0.06,0.058823529
0.06,0.069565217
0.06,0.128571429
0.06,0.08
0.06,0.057142857
0.06,0.088888889
0.06,0.073684211
0.06,0.075
0.06,0.1
0.15,0.283333333
0.15,0.146666667
0.15,0.161904762
0.15,0.188888889
0.15,0.168421053
0.15,0.1875
0.15,0.108333333
0.15,0.152380952
0.15,0.130434783
0,0.028571429
0,0.0125
0,0
0,0
0,-0.015384615
0,0.00952381
0,0.018181818
0,0
0,0
0.1,0.1375
0.1,0.08
0.1,0.145454545
0.1,0.183333333
0.1,0.125
0.1,0.157142857
0.1,0.077777778
0.1,0.076190476
0.1,0.090909091
0.23,0.175
0.23,0.363636364
0.23,0.211111111
0.23,0.188888889
0.23,0.211764706
0.23,0.157894737
0.23,0.157894737
0.23,0.366666667
0.23,0.163636364
0.15,0.086666667
0.15,0.144444444
0.15,0.166666667
0.15,0.177777778
0.15,0.104761905
0.15,0.136842105
0.15,0.157894737
0.15,0.188235294
0.15,0.161904762
0.02,0.033333333
0.02,0.066666667
0.02,0.070588235
0.02,0.047058824
0.02,0.05
0.02,0.054545455
0.02,0.04
0.02,0.05
0.02,0.04
0.08,0.044444444
0.08,0.126315789
0.08,0.123076923
0.08,0.077777778
0.08,0.129411765
0.08,0.116666667
0.08,0.093333333
0.08,0.1
0.08,0.128571429
0.03,0.011111111
0.03,0.044444444
0.03,0.0375
0.03,0.02
0.03,0.035294118
0.03,0.01
0.03,0.023529412
0.03,0.031578947
0.03,0
0,0
0,0.044444444
0,-0.066666667
0,0.054545455
0,0
0,0.08
0,0.022222222
0,0.022222222
0,0.12
0.11,0.1
0.11,0.1
0.11,0.129411765
0.11,0.125
0.11,0.2
0.11,0.133333333
0.11,0.133333333
0.11,0.105882353
0.11,0.7
0.09,0.146666667
0.09,0.085714286
0.09,0.047619048
0.09,0.081818182
0.09,0.129411765
0.09,0.181818182
0.09,0.146666667
0.09,0.073684211
0.09,0.071428571
0.08,0.111111111
0.08,0.036363636
0.08,0.15
0.08,0.233333333
0.08,0.066666667
0.08,0.094117647
0.08,0.146666667
0.08,0.1
0.08,0.146666667
0.03,0.053333333
0.03,0.025
0.03,0.314285714
0.03,0.04
0.03,0.0375
0.03,0.033333333
0.03,0.08
0.03,0.010526316
0.03,0.06
0.03,0
0.03,0.314285714
0.03,-0.033333333
0.03,0.014814815
0.03,0.025
0.03,0.05
0.03,0
0.03,0.116666667
0.03,0.171428571
0.1,0.0875
0.1,0.14
0.1,0.2
0.1,0.142857143
0.1,0.03
0.1,0.25
0.1,0.32
0.1,0.257142857
0.1,0.1
0.03,0.3
0.03,0.077777778
0.03,0.05
0.03,0.070588235
0.03,0.107692308
0.03,0.052631579
0.03,0.127272727
0.03,0.017391304
0.03,0.116666667
0.11,0.044444444
0.11,0.136842105
0.11,0.125
0.11,0.016
0.11,0.076923077
0.11,0.657142857
0.11,0.044444444
0.11,0.009090909
0.11,0.6
0.02,0.052631579
0.02,0.085714286
0.02,0.015384615
0.02,0.05
0.02,-0.05
0.02,0.047619048
0.02,0.057142857
0.02,0.052631579
0.02,0.066666667
0.11,0.082352941
0.11,0.28
0.11,0.077777778
0.11,0.07
0.11,0.0375
0.11,0.042105263
0.11,0.071428571
0.11,0.060869565
0.11,0.371428571
0.15,0.052631579
0.15,0.035714286
0.15,0.077777778
0.15,0.1
0.15,0.047619048
0.15,0.063157895
0.15,0.063157895
0.15,0.1
0.15,0.1
0.05,0.1375
0.05,0.01
0.05,0.05
0.05,0.05
0.05,0.05
0.05,0.171428571
0.05,0.095238095
0.05,0.05
0.05,0.125
0.13,0.475
0.13,0.1375
0.13,0.233333333
0.13,0.266666667
0.13,0.425
0.13,0.122222222
0.13,0.063157895
0.13,0.28
0.13,0.084210526
0.08,0.075
0.08,0.146666667
0.08,0.077777778
0.08,0.05
0.08,0.047058824
0.08,0.045454545
0.08,0.021052632
0.08,0.022222222
0.08,0.125
0.11,0.028571429
0.11,0.155555556
0.11,0.16
0.11,0.1125
0.11,0.2
0.11,0.08
0.11,0.058823529
0.11,0.1
0.11,0.016666667
0.16,0.2125
0.16,0.186666667
0.16,0.155555556
0.16,0.176470588
0.16,0.24
0.16,0.136842105
0.16,0.13
0.16,0.266666667
0.16,0.210526316
0.11,0.123076923
0.11,0.184615385
0.11,0.138461538
0.11,0.085714286
0.11,0.12
0.11,0.038095238
0.11,0.2
0.11,0.06
0.11,0.129411765
0.05,0.05
0.05,0.076923077
0.05,0.06
0.05,0.052631579
0.05,0.036363636
0.05,0.076923077
0.05,0.023529412
0.05,0.066666667
0.05,0.07
0.03,0.054545455
0.03,0.033333333
0.03,0.071428571
0.03,0.090909091
0.03,0.127272727
0.03,0.04
0.03,0.011764706
0.03,0
0.03,0.0625
