TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
0,0,0.18,5,4,4,0.0,1.0,0,0,8,1,2,6,15,34,0.05714285714285715,4,4,4,0.0,1.0,313
0,1,0.18,4,4,3,0.0,1.0,1,1,8,0,0,4,15,32,0.19999999999999998,4,4,3,-1.1356696445458649,0.8,401
0,2,0.18,3,3,5,0.0,1.0,0,0,0,1,0,3,18,40,0.15294117647058825,4,4,4,0.0,1.0,249
0,3,0.18,5,4,4,0.0,1.0,1,1,7,0,0,4,18,33,0.11111111111111112,5,4,4,-2.9481050849797441,0.6,135
0,4,0.18,5,5,5,0.0,1.0,0,0,0,1,0,3,17,40,0.11764705882352942,5,5,5,0.0,1.0,152
0,5,0.18,5,4,5,0.0,1.0,0,0,0,3,2,8,19,40,0.11764705882352942,5,5,5,0.0,1.0,1129
0,6,0.18,2,2,4,0.0,1.0,1,1,18,0,0,0,15,24,0.14666666666666667,4,4,4,0.0,1.0,297
0,7,0.18,5,5,5,0.0,1.0,1,1,3,1,0,3,11,37,0.32727272727272727,4,4,4,0.0,1.0,825
0,8,0.18,4,3,4,0.0,1.0,2,2,3,0,0,2,19,39,0.09473684210526315,4,4,4,0.0,1.0,124
1,0,0.06,3,3,4,0.0,1.0,7,7,34,0,0,7,17,12,0.05882352941176471,5,4,4,0.0,1.0,416
1,1,0.06,3,3,4,0.0,1.0,1,1,0,8,0,0,114,40,0.06956521739130435,4,3,4,0.0,1.0,552
1,2,0.06,2,4,3,0.0,1.0,0,0,17,1,0,5,15,25,0.12857142857142856,5,5,5,0.0,1.0,406
1,3,0.06,2,3,3,0.0,1.0,3,3,4,1,0,2,21,36,0.08,4,4,4,-1.3866349990131979,0.8,156
1,4,0.06,2,2,1,0.0,1.0,0,0,0,2,0,0,22,40,0.057142857142857134,2,3,3,0.0,1.0,75
1,5,0.06,5,5,5,0.0,1.0,0,0,0,1,0,4,18,40,0.08888888888888889,5,5,5,-2.7286969800792691,0.6,73
1,6,0.06,4,3,4,0.0,1.0,0,0,4,1,0,1,20,36,0.0736842105263158,4,4,4,-3.0165800277745767,0.6,212
1,7,0.06,4,3,3,0.0,1.0,2,2,9,1,0,0,16,31,0.075,4,5,4,0.0,1.0,289
1,8,0.06,3,2,4,0.0,1.0,2,2,6,2,0,0,21,36,0.1,4,5,5,-1.3110822645191795,0.8,655
2,0,0.15,3,4,4,0.0,1.0,9,9,2,0,0,7,13,38,0.2833333333333334,5,4,5,0.0,1.0,251
2,1,0.15,5,5,5,0.0,1.0,0,0,0,3,0,0,15,40,0.14666666666666667,5,5,5,0.0,1.0,292
2,2,0.15,4,4,4,0.0,1.0,1,1,0,1,0,5,21,40,0.1619047619047619,5,4,5,0.0,1.0,147
2,3,0.15,4,3,3,0.0,1.0,0,0,0,0,0,0,18,40,0.1888888888888889,4,4,4,0.0,1.0,214
2,4,0.15,4,4,4,0.0,1.0,0,0,3,1,2,1,19,37,0.16842105263157894,4,4,4,-2.0648294642808689,0.8,118
2,5,0.15,4,4,4,0.0,1.0,1,1,0,1,0,5,16,40,0.1875,4,4,5,-1.567723111267596,0.8,220
2,6,0.15,5,5,5,0.0,1.0,4,4,0,0,0,9,24,40,0.10833333333333334,5,5,5,0.0,1.0,338
2,7,0.15,4,4,4,0.0,1.0,2,2,2,0,0,0,21,38,0.15238095238095237,5,5,5,-1.6740169756764083,0.8,171
2,8,0.15,5,5,5,0.0,1.0,3,3,0,1,0,4,24,40,0.13043478260869565,5,5,5,0.0,1.0,419
3,0,-0.0,4,4,4,-1.3111950092951301,0.8,1,1,5,0,0,7,14,38,0.028571428571428574,4,4,4,-3.1044611656427152,0.6,243
3,1,-0.0,4,4,4,-1.3111950092951301,0.8,5,5,2,1,4,9,16,38,0.0125,5,5,5,0.0,1.0,379
3,2,-0.0,3,3,3,-1.3111950092951301,0.8,0,0,0,0,4,1,13,40,0.0,4,4,4,-4.282411904547538,0.4,109
3,3,-0.0,5,5,4,-1.3111950092951301,0.8,4,4,13,1,3,9,17,29,-0.0,5,5,5,0.0,1.0,454
3,4,-0.0,4,4,4,-1.3111950092951301,0.8,0,0,0,3,0,1,15,40,-0.015384615384615385,5,5,5,-1.6672146298213892,0.8,225
3,5,-0.0,5,5,5,-1.3111950092951301,0.8,1,1,1,1,0,7,21,39,0.009523809523809523,5,5,5,-3.244786626545622,0.6,247
3,6,-0.0,2,4,3,-1.3111950092951301,0.8,2,2,0,0,0,8,13,40,0.01818181818181818,5,5,5,-1.1144786806363509,0.8,217
3,7,-0.0,2,3,4,-1.3111950092951301,0.8,0,0,1,1,0,1,19,39,-0.0,4,4,5,-1.4960327810179881,0.8,102
