TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
18,6,0.11,4,4,4.111111111,0,1,0,0,0,0,0,0,18,40,0.04,4,4,4,0,1,18
15,8,0.03,2.888888889,3,3.111111111,-1.614898908,0.8,0,0,1,0,0,4,7,39,0.06,5,5,5,-1.189881103,0.8,50
14,1,0.03,2.555555556,2.444444444,3.111111111,-2.01001482,0.6,0,0,2,0,0,0,16,38,0.02,2,3,3,-0.956922132,0.8,54
27,7,0.16,4.111111111,3.777777778,3.777777778,0,1,0,0,0,0,0,0,12,40,0.16,4,4,4,0,1,58
26,0,0.11,2.555555556,2.555555556,2.666666667,-5.51721327,0.2,2,2,2,1,0,0,21,38,0.03,4,4,4,-2.047217036,0.8,62
7,8,0.02,4.222222222,4.222222222,4,0,1,0,0,3,2,0,2,23,37,0.04,4,5,4,-3.462493217,0.4,70
1,5,0.06,3.111111111,3.111111111,3.444444444,0,1,0,0,0,1,0,4,18,40,0.08,5,5,5,-2.72869698,0.6,73
25,3,0.08,4.111111111,4.222222222,4.111111111,0,1,3,3,8,0,0,1,20,32,0.05,4,3,3,0,1,73
1,4,0.06,3.111111111,3.111111111,3.444444444,0,1,0,0,0,2,0,0,22,40,0.06,2,3,3,0,1,75
9,3,0.03,4.111111111,4,4.111111111,0,1,2,2,8,0,0,2,20,32,0.02,5,5,5,-1.4225039,0.8,75
4,7,0.1,4.111111111,3.666666667,4.111111111,0,1,0,0,6,1,0,0,21,34,0.08,5,5,5,0,1,76
17,3,0.03,4,4.444444444,4.222222222,0,1,3,3,0,0,0,0,17,40,0.06,5,5,5,0,1,77
5,7,0.23,3.888888889,3.888888889,4,0,1,0,0,0,0,0,0,12,40,0.22,4,4,4,0,1,78
14,4,0.03,2.555555556,2.444444444,3.111111111,-2.01001482,0.6,2,2,11,0,0,3,16,29,0.03,4,4,4,-4.63935132,0.2,80
22,3,0.15,3.777777778,3.555555556,4,0,1,1,1,1,0,0,2,15,39,0.08,5,5,5,0,1,91
14,3,0.03,2.555555556,2.444444444,3.111111111,-2.01001482,0.6,2,2,9,0,0,3,20,31,0.04,4,4,4,-1.593378292,0.6,92
18,3,0.11,4,4,4.111111111,0,1,5,5,0,0,0,0,22,40,0.02,4,4,4,0,1,95
30,7,0.03,2.333333333,2.444444444,3.111111111,-3.088794216,0.6,0,0,1,1,0,1,17,39,0,5,5,4,0,1,95
15,0,0.03,2.888888889,3,3.111111111,-1.614898908,0.8,1,1,3,1,4,1,16,37,0,5,5,5,-1.234105505,0.8,96
20,2,0.11,3.777777778,3.666666667,3.888888889,-3.313896223,0.6,0,0,0,2,2,0,35,40,0.07,5,5,5,-1.778875726,0.8,96
24,6,0.13,4.333333333,4.111111111,3.888888889,0,1,1,1,0,1,0,0,19,40,0.06,5,4,4,0,1,96
19,0,0.02,2.666666667,2.777777778,2.555555556,-1.876888431,0.6,1,1,1,1,0,0,19,39,0.05,4,4,4,-1.976425083,0.4,98
6,3,0.15,4,4,4.222222222,0,1,0,0,0,1,0,2,18,40,0.16,5,5,5,0,1,101
3,7,0,3.777777778,4,3.888888889,-1.311195009,0.8,0,0,1,1,0,1,19,39,0,4,4,5,-1.496032781,0.8,102
11,0,0.11,4,4.111111111,4.222222222,0,1,1,1,7,0,0,2,20,33,0.1,5,5,5,-1.138950407,0.8,102
28,6,0.11,2.777777778,3,3.333333333,0,1,3,3,0,0,0,7,9,40,0.09,4,4,5,0,1,102
24,1,0.13,4.333333333,4.111111111,3.888888889,0,1,2,2,0,0,0,0,16,40,0.11,4,4,4,0,1,104
24,3,0.13,4.333333333,4.111111111,3.888888889,0,1,0,0,0,0,3,1,12,40,0.16,5,5,5,0,1,105
7,6,0.02,4.222222222,4.222222222,4,0,1,3,3,0,0,0,7,16,40,0.03,4,3,4,-1.302609224,0.8,106
25,1,0.08,4.111111111,4.222222222,4.111111111,0,1,0,0,2,0,0,6,15,38,0.11,4,4,4,0,1,107
25,8,0.08,4.111111111,4.222222222,4.111111111,0,1,0,0,0,0,0,0,16,40,0.1,4,4,4,-2.904797417,0.6,108
3,2,0,3.777777778,4,3.888888889,-1.311195009,0.8,0,0,0,0,4,1,13,40,0,4,4,4,-4.282411905,0.4,109
24,0,0.13,4.333333333,4.111111111,3.888888889,0,1,0,0,7,1,0,1,8,33,0.19,5,5,5,0,1,109
7,2,0.02,4.222222222,4.222222222,4,0,1,0,0,9,0,0,7,17,31,0.06,4,5,5,0,1,110
6,6,0.15,4,4,4.222222222,0,1,3,3,0,0,0,2,19,40,0.15,4,4,5,-1.188643514,0.8,111
28,7,0.11,2.777777778,3,3.333333333,0,1,1,1,0,1,0,1,20,40,0.06,4,4,4,-0.72120122,0.8,111
8,3,0.08,3.777777778,3.333333333,3.888888889,0,1,0,0,3,1,0,0,19,37,0.07,5,4,5,-1.57128196,0.8,117
11,7,0.11,4,4.111111111,4.222222222,0,1,0,0,2,0,0,0,17,38,0.09,4,4,4,0,1,117
17,0,0.03,4,4.444444444,4.222222222,0,1,0,0,0,1,0,1,6,40,0.09,5,5,5,0,1,117
2,4,0.15,4.222222222,4.222222222,4.222222222,0,1,0,0,3,1,2,1,19,37,0.16,4,4,4,-2.064829464,0.8,118
9,5,0.03,4.111111111,4,4.111111111,0,1,1,1,0,1,0,0,20,40,0.01,4,4,4,0,1,120
17,8,0.03,4,4.444444444,4.222222222,0,1,1,1,0,0,0,4,12,40,0.07,4,5,5,0,1,120
9,7,0.03,4.111111111,4,4.111111111,0,1,1,1,3,1,2,1,20,37,0.03,3,4,4,0,1,121
16,3,0.1,3.555555556,3.888888889,3.888888889,-3.866030033,0.6,0,0,1,1,0,0,15,39,0.1,5,5,5,0,1,122
20,8,0.11,3.777777778,3.666666667,3.888888889,-3.313896223,0.6,2,2,5,0,0,6,7,35,0.13,5,5,5,0,1,123
0,8,0.18,4.222222222,3.777777778,4.333333333,0,1,2,2,3,0,0,2,19,39,0.09,4,4,4,0,1,124
26,5,0.11,2.555555556,2.555555556,2.666666667,-5.51721327,0.2,1,1,2,0,0,2,20,38,0.08,3,4,3,-4.573016085,0.4,124
9,2,0.03,4.111111111,4,4.111111111,0,1,0,0,0,1,0,3,15,40,0.03,5,4,4,0,1,126
9,4,0.03,4.111111111,4,4.111111111,0,1,1,1,6,0,2,1,17,34,0.03,4,4,5,-1.162483135,0.8,126
27,8,0.16,4.111111111,3.777777778,3.777777778,0,1,2,2,2,0,0,3,19,38,0.2,4,4,4,0,1,126
10,8,0,2.222222222,2.222222222,2.444444444,-1.313812436,0.2,3,3,8,0,0,3,5,32,0.03,5,4,5,-0.818832577,0.4,127
17,6,0.03,4,4.444444444,4.222222222,0,1,0,0,0,0,0,6,11,40,0.07,4,4,5,0,1,127
8,6,0.08,3.777777778,3.333333333,3.888888889,0,1,0,0,0,0,0,9,15,40,0.07,4,4,4,-3.039232004,0.6,128
23,4,0.05,3.666666667,3.666666667,3.666666667,0,1,1,1,1,1,0,0,21,39,0.05,4,4,4,0,1,128
28,8,0.11,2.777777778,3,3.333333333,0,1,0,0,2,1,0,1,17,38,0.11,4,4,4,-2.293588362,0.6,128
10,1,0,2.222222222,2.222222222,2.444444444,-1.313812436,0.2,1,1,5,0,0,1,9,35,0.02,3,3,3,-0.681244791,0.6,129
25,4,0.08,4.111111111,4.222222222,4.111111111,0,1,1,1,0,1,3,2,17,40,0.04,5,5,5,0,1,129
26,7,0.11,2.555555556,2.555555556,2.666666667,-5.51721327,0.2,1,1,2,2,0,0,16,38,0.08,3,3,4,-5.138618265,0.4,130
12,5,0.09,4,3.777777778,4.222222222,0,1,0,0,15,0,0,0,11,25,0.1,4,4,4,0,1,131
4,0,0.1,4.111111111,3.666666667,4.111111111,0,1,0,0,4,1,0,1,16,36,0.11,4,4,4,0,1,132
24,4,0.13,4.333333333,4.111111111,3.888888889,0,1,0,0,17,0,1,3,8,25,0.17,5,4,5,0,1,134
0,3,0.18,4.222222222,3.777777778,4.333333333,0,1,1,1,7,0,0,4,18,33,0.1,5,4,4,-2.948105085,0.6,135
5,8,0.23,3.888888889,3.888888889,4,0,1,2,2,1,0,0,1,23,39,0.18,4,4,4,0,1,135
20,0,0.11,3.777777778,3.666666667,3.888888889,-3.313896223,0.6,1,1,2,1,2,1,17,38,0.07,5,5,5,0,1,135
29,5,0.05,3.333333333,3.666666667,3.888888889,0,1,1,1,0,0,3,6,13,40,0.05,3,4,3,0,1,137
6,5,0.15,4,4,4.222222222,0,1,0,0,0,1,0,10,20,40,0.13,5,5,5,0,1,138
16,1,0.1,3.555555556,3.888888889,3.888888889,-3.866030033,0.6,0,0,6,0,0,0,10,36,0.07,3,3,3,-1.206546591,0.8,141
6,1,0.15,4,4,4.222222222,0,1,5,5,0,0,0,0,19,40,0.13,4,4,4,0,1,142
6,4,0.15,4,4,4.222222222,0,1,2,2,0,0,0,0,21,40,0.11,3,4,4,0,1,142
