,,,simplification,multi-word,grouping,replace
0,"children,kids,student",Children ,,,1,
0,"university,college,campus",University,,,1,
0,"children,student,kids",students,,,1,
0,"school,schools",school,1,,,
0,"students,student",students,1,,,
0,"students,student",students,1,,,
0,"school,schools",schools,1,,,
1,"travelers,travel,resort,hotel",travel,,,1,
1,"winter,trees,snow,ice,weather",weather,,,1,
1,"travel[travelers, travel, resort, hotel],airport",travel,,,1,
1,"airlines,travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel]",travel,,,1,
1,"ski,travel[airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],beach",vacation,,,1,
1,"science and nature,mountain,miles,park",science and nature,,,1,
1,"air,vacation[ski, travel, beach[airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel]",vacation,,,1,
1,www,offers,,,,1
1,"ice,winter,snow",winter,,,1,
1,"winter,water,snow,air,ice,weather",Weather,,,1,
1,"winter,snow",winter,,,1,
1,"hotel,travel",vacation,,,1,
1,"trees,mountain,ice,snow,beach",scenery,,,1,
1,"winter,snow,ice,water,weather",weather,,,1,
1,"resort,hotel",Places,,,1,
1,"travel,hotel,island",Travel,,,1,
1,"winter,snow,ice",Winter,,,1,
2,"stock,sales,investment,fund,growth,price,percent",finances,,,1,
2,"year,quarter",time,,,1,
2,"market,company,investors",economy,,,1,
2,"billion,million",numbers,,,1,
2,"sales,price,prices",Money ,,,1,
2,"company,companies",company,1,,,
2,"price,prices",Price,1,,,
3,,corrections,,,,
3,"neediest,cases",genre,,,1,
3,"misstated,corrections,correction",corrections,1,,,
3,"neediest,cases",cases,,,1,
3,"brooklyn,bronx",area,,,1,
3,"city,street",building,,,1,
3,"york,city",New York City,,1,,
3,"york,brooklyn,bronx",New YOrk,,,1,
3,"New YOrk[york, brooklyn, bronx]",New York,,,1,
3,"york,bronx,brooklyn",New York,,,1,
4,"chief,executive,management,executives",leadership,,,1,
4,"board,chairman,director",board,,,1,
4,"executive,chief,president,executives,management",management,,,1,
4,"board[board, chairman, director]",board of directors,,1,,
4,"million,deal",money,,,1,
4,"executive,executives",executive,1,,,
4,"president,chairman,director,executive",boss,,,1,
4,"executive,chief,president,chairman,director",boss,,,1,
4,"employees,chairman,management,executive,chief,board,president,executives,director",Associates,,,1,
4,"executive,chief,president,executives,director,chairman,management",management,,,1,
5,"chicken,pork",meat,,,1,
5,"chicken,pork",meat,,,1,
5,"lemon,chocolate,cream,cheese",flavor,,,1,
5,"fish,meat[chicken, pork]",meat,,,1,
5,"wine,wines",wine,1,,,
5,"restaurant,restaurants",restaurants,1,,,
5,"wine[wine, wines],bar",Drinking,,,1,
5,"cream,cheese,meat,sauce,fish,chicken,chocolate",ingredients,,,1,
6,"pleaded,plead,plea",pleaded,1,,,
6,"jurors,jury",jury,1,,,
6,"testify,testimony",testimony,1,,,
6,"lawyer,lawyers",lawyer,1,,,
6,"department,police",police,,,1,
6,"court,case,law,judge,justice,lawyer,lawyers,legal,attorney",court,,,1,
6,"court,case,law,judge,justice,lawyer,federal,lawyers,state,trial,attorney,legal",court,,,1,
6,"attorney,trial,lawyers,judge,lawyer,court",Courtroom,,,1,
6,"lawyer,attorney",legal representatives,,,1,
6,"lawyers,attorney",litigators,,,1,
6,"court,case,judge,trial",Courtroom,,,1,
6,"lawyer,lawyers,attorney",Lawyer,1,,,
6,,convicted,,,,
7,"train,transportation",genre,,,1,
7,"long,island",Long Island,,1,,
7,"officials,mayor",officials,,,1,
7,"street,park,building",landmarks,,,1,
7,"county,local",local,,,1,
7,"landmarks[street, park, building],center",landmarks,,,1,
7,"development,project",development,,,1,
7,"people,community",people,,,1,
7,"people[people, community],residents",people,,,1,
7,"people,residents",citizens,,,1,
7,"city,york,local,community",New York City,,,1,
7,"residents,people",Residents,,,1,
8,"car,company",car company,,1,,
8,"ford,toyota",manufacturer,,,1,
8,"gas,ethanol",fuel,,,1,
8,"gas,ethanol",fuel,,,1,
8,"ford,toyota",genre,,,1,
8,"plants,plant",plants,1,,,
8,"environmental,green ",green friendly,,,1,
8,"ford,toyota",brand,,,1,
8,"ford,toyota,companies,production",Brands,,,1,
8,"ford,toyota",manufacturers,,,1,
9,"war,military,troops", military ,,,1,
9,"military,troops",soldiers,,,1,
9,"american,states,united",USA,,,1,
9,"nuclear,troops,military",attack,,,1,
9,"troops,military",armed forces,,,1,
9,"congress,secretary",government,,,1,
9,"White,House",Location,,,1,
9,"president,bush",American President,,,1,
9,"United,Nations",United Nations,,1,,
10,"ago,year",time,,,1,
10,"make,made",process,,,1,
10,"years,year,time,ago",time,,,1,
10,"making,made,make,change,added",change,,,1,
10,recent,change,,,,1
10,"time[years, year, time, ago],end",time,,,1,
10,"back,time[time, end[years, year, time, ago],years, year, time, ago]",time,,,1,
10,"years,time,year,long,ago,end",time,,,1,
10,"republican,democrat",political parties,,,1,
10,"climate,global",environment,,,1,
10,"obama,clinton",politicians,,,1,
11,"health,insurance",health insurance,,1,,
11,"health,care",healthcare,,1,,
11,"money,million",cost,,,1,
11,"budget,money",cost,,,1,
11,"health,care,insurance",Healthcare,,1,,
11,"workers,people",people,,,1,
11,"budget,cost,money,pay",finance,,,1,
11,"tax,taxes",tax,1,,,
11,"health,insurance,plan",Health Care,,,1,
11,"Health Care[health, insurance, plan],care",Health Care,,,1,
12,"political,party",political party,,1,,
12,"senate,house,senator",congress,,,1,
12,"democrats,democratic",democrat,,,1,
12,"senate,senator",senate,1,,,
12,"democrats,democrat",democrat,1,,,
12,"republican,republicans",republican,1,,,
12,"senate,senator",senat,1,,,
12,"election,political",political,,,1,
12,spitzer,govenor,,,,1
13,"artists,artist",artist,1,,,
13,"painting,paintings",painting,1,,,
13,"french,american",origin,,,1,
13,"show,exhibition",event,,,1,
13,"museum,gallery",location,,,1,
13,"event[show, exhibition],fair",event,,,1,
13,"french,american,mexican,spanish,congolese,hungarian",origin,,,1,
13,"sculpture,photographs,paintings",medium,,,1,
13,"fair,show,exhibition",event,,,1,
13,"street,american,french,century",genre,,,1,
13,"painting,paintings",paintings,1,,,
13,"show,exhibition",showcase,,,1,
13,"art,arts",art,1,,,
13,"artists,artist",artists,1,,,
13,"french,american",origin,,,1,
13,"art,museum,gallery",Exhibitions ,,,1,
13,"art,museum,exhibition,gallery",Locations,,,1,
13,"american,french",cultures,,,1,
14,"years,man,told",family,,,1,
14,"home,house",home,,,1,
14,"son,father,wife",family,,,1,
14,"family,home,house",household,,,1,
14,"day,night",part of day,,,1,
14,"wife,father,son,friends,people,family",family,,,1,
14,"found,family",found family,,,1,
15,"ohio,calif,tex",states,,,1,
15,"terms,contract,agreed",Transactions,,,1,
15,"memorial,death,notice,dead",Deaths,,,1,
15,"memorial,death,notice,dead",Deaths,,,1,
15,"league,Transactions[terms, contract, agreed]",Sports,,,1,
15,"national,Sports[league, Transactions[terms, contract, agreed],terms, contract, agreed]",Sports,,,1,
15,"ohio,calif,louis,st,san",location,,,1,
15,"james,johnson,david,brown,jr",player,,,1,
15,"john,johnson,james,david,brown,jr",player,,,1,
15,"contract,terms,agreed",contract,,,1,
15,"tex,location[ohio, calif, louis, st, san]",location,,,1,
15,"national league,american league,development league",league,,,1,
15,"minor league,development league,national league,american league",league,,,1,
15,"john,brown,david,jr,johnson,james",player names,,,1,
15,"san,st,calif,louis,ohio",locations,,,1,
15,"major,league,baseball",baseball,,,1,
15,"major,league,baseball",baseball,,,1,
15,"NHL,hockey",Hockey,,,1,
16,"write,writing,writes,written",author,,,1,
16,"wrote,writing,write,writes,written",genre,,,1,
16,"book,books",books,1,,,
16,"writing,written,writes,wrote",written by,,,1,
17,"deaths,died",passed away,,,1,
17,"deaths,died",death,,,1,
17,"wife,husband,family",family,,,1,
17,"father,family[wife, husband, family]",family,,,1,
17,"husband,family,wife,father",family,,,1,
17,"deaths,died,memorial,survived,late",death,,,1,
17,"notice,deaths",Notice Deaths,,1,,
17,"Obituary,Obituaries",Obituaries,1,,,
17,,Deaths,,,,
17,"paid,notice,deaths",Obituary,,,1,
17,"paid,notice,deaths",Obituary,,,1,
17,"paid,notice,deaths",Obituary,,,1,
17,"january,died",Date,,,1,
17,"family,wife,beloved,husband,survived,father,loving",Family,,,1,
17,"family,wife,beloved,husband,survived,father,late,loving",Relatives,,,1,
17,"paid,notice,deaths",Obituaries,,,1,
17,"january,died",Date,,,1,
17,"funeral,memorial",Service,,,1,
18,"giants,patriots,colts,jets",teams,,,1,
18,"jets,bears,giants,patriots,colts",teams,,,1,
18,"game,games",game,,,1,
18,"giants,colts,jets",sports teams,,,1,
18,"patriots,colts,giants,jets",sports teams,,,1,
18,"jets,bears",teams,,,1,
18,"jets,bears,patriots,giants",team,,,1,
18,"jets,bears,giants,patriots",team,,,1,
18,"manning,quarterback",player,,,1,
